Using device: mps
======================================================================
Training model: MLP
======================================================================
Total trainable parameters: 795,010
Starting strategy: constant
armijo | Epoch 11 | Train Loss: 0.0012 | Train Acc: 100.0000% | Test Loss: 0.0587 | Test Acc: 98.6100% | LR: 0.223065 | Time: 9.24s
armijo | Epoch 12 | Train Loss: 0.0008 | Train Acc: 100.0000% | Test Loss: 0.0594 | Test Acc: 98.5800% | LR: 0.483477 | Time: 9.19s
armijo | Epoch 13 | Train Loss: 0.0006 | Train Acc: 100.0000% | Test Loss: 0.0623 | Test Acc: 98.5400% | LR: 0.501209 | Time: 9.20s
armijo | Epoch 14 | Train Loss: 0.0005 | Train Acc: 100.0000% | Test Loss: 0.0617 | Test Acc: 98.6100% | LR: 0.519590 | Time: 9.17s
armijo | Epoch 15 | Train Loss: 0.0004 | Train Acc: 100.0000% | Test Loss: 0.0613 | Test Acc: 98.5800% | LR: 1.251305 | Time: 9.19s
armijo | Epoch 16 | Train Loss: 0.0004 | Train Acc: 99.9983% | Test Loss: 0.0624 | Test Acc: 98.5400% | LR: 0.689383 | Time: 9.19s
armijo | Epoch 17 | Train Loss: 0.0003 | Train Acc: 100.0000% | Test Loss: 0.0627 | Test Acc: 98.5800% | LR: 0.468892 | Time: 9.19s
armijo | Epoch 18 | Train Loss: 0.0002 | Train Acc: 100.0000% | Test Loss: 0.0643 | Test Acc: 98.5400% | LR: 1.394089 | Time: 9.24s
armijo | Epoch 19 | Train Loss: 0.0002 | Train Acc: 100.0000% | Test Loss: 0.0659 | Test Acc: 98.5700% | LR: 1.784218 | Time: 9.19s
armijo | Epoch 20 | Train Loss: 0.0002 | Train Acc: 100.0000% | Test Loss: 0.0658 | Test Acc: 98.6000% | LR: 1.092201 | Time: 9.22s
armijo | Epoch 21 | Train Loss: 0.0002 | Train Acc: 100.0000% | Test Loss: 0.0674 | Test Acc: 98.5500% | LR: 0.742874 | Time: 9.23s
armijo | Epoch 22 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0682 | Test Acc: 98.5200% | LR: 2.726763 | Time: 9.16s
armijo | Epoch 23 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0687 | Test Acc: 98.5300% | LR: 2.826766 | Time: 9.23s
armijo | Epoch 24 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0688 | Test Acc: 98.5500% | LR: 1.401618 | Time: 9.21s
armijo | Epoch 25 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0709 | Test Acc: 98.5600% | LR: 5.144724 | Time: 9.21s
armijo | Epoch 26 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0725 | Test Acc: 98.6000% | LR: 3.499246 | Time: 9.33s
armijo | Epoch 27 | Train Loss: 0.0001 | Train Acc: 100.0000% | Test Loss: 0.0727 | Test Acc: 98.5500% | LR: 0.000001 | Time: 9.49s
armijo | Epoch 28 | Train Loss: 0.0000 | Train Acc: 100.0000% | Test Loss: 0.0727 | Test Acc: 98.5500% | LR: 0.000000 | Time: 9.36s
armijo | Epoch 29 | Train Loss: 0.0000 | Train Acc: 100.0000% | Test Loss: 0.0727 | Test Acc: 98.5500% | LR: 0.000001 | Time: 9.29s
armijo | Epoch 30 | Train Loss: 0.0000 | Train Acc: 100.0000% | Test Loss: 0.0727 | Test Acc: 98.5500% | LR: 0.000001 | Time: 9.31s
Plots generated for MLP
======================================================================
Training model: DeepMLP
======================================================================
Total trainable parameters: 4,364,554
Starting strategy: constant
constant | Epoch 1 | Train Loss: 1.3821 | Train Acc: 66.8317% | Test Loss: 0.4355 | Test Acc: 87.6000% | LR: 0.010000 | Time: 8.85s
constant | Epoch 2 | Train Loss: 0.3414 | Train Acc: 90.1150% | Test Loss: 0.2707 | Test Acc: 91.9800% | LR: 0.010000 | Time: 8.81s
constant | Epoch 3 | Train Loss: 0.2408 | Train Acc: 93.0183% | Test Loss: 0.2040 | Test Acc: 94.2100% | LR: 0.010000 | Time: 8.97s
constant | Epoch 4 | Train Loss: 0.1863 | Train Acc: 94.5900% | Test Loss: 0.1734 | Test Acc: 94.9700% | LR: 0.010000 | Time: 8.88s
constant | Epoch 5 | Train Loss: 0.1489 | Train Acc: 95.6883% | Test Loss: 0.1380 | Test Acc: 95.9100% | LR: 0.010000 | Time: 8.83s
constant | Epoch 6 | Train Loss: 0.1228 | Train Acc: 96.4183% | Test Loss: 0.1225 | Test Acc: 96.5300% | LR: 0.010000 | Time: 8.79s
constant | Epoch 7 | Train Loss: 0.1029 | Train Acc: 96.9967% | Test Loss: 0.1084 | Test Acc: 96.8700% | LR: 0.010000 | Time: 8.80s
constant | Epoch 8 | Train Loss: 0.0872 | Train Acc: 97.5000% | Test Loss: 0.0976 | Test Acc: 97.1000% | LR: 0.010000 | Time: 8.84s
constant | Epoch 9 | Train Loss: 0.0745 | Train Acc: 97.8717% | Test Loss: 0.0908 | Test Acc: 97.3500% | LR: 0.010000 | Time: 8.95s
constant | Epoch 10 | Train Loss: 0.0644 | Train Acc: 98.1217% | Test Loss: 0.0830 | Test Acc: 97.5200% | LR: 0.010000 | Time: 8.92s
constant | Epoch 11 | Train Loss: 0.0549 | Train Acc: 98.4267% | Test Loss: 0.0803 | Test Acc: 97.6500% | LR: 0.010000 | Time: 8.98s
constant | Epoch 12 | Train Loss: 0.0475 | Train Acc: 98.6683% | Test Loss: 0.0878 | Test Acc: 97.2100% | LR: 0.010000 | Time: 8.91s
constant | Epoch 13 | Train Loss: 0.0407 | Train Acc: 98.8383% | Test Loss: 0.0733 | Test Acc: 97.8100% | LR: 0.010000 | Time: 8.90s
